job,age,height_cm,weight_kg
Student,24,145.0,38.0
Driver,62,151.0,43.5
Driver,18,159.7,49.1
Driver,26,162.4,55.5
Student,29,163.9,67.9
Healthcare,31,168.4,78.3
Manual,24,164.9,73.7
Healthcare,18,178.5,59.7
IT,50,161.2,58.7
Sales,64,159.4,59.9
Service,23,172.8,63.0
IT,32,152.6,40.5
Unemployed,42,171.9,63.9
Unemployed,62,169.0,61.3
Unemployed,51,166.5,57.9
Manual,54,183.9,70.3
Sales,45,161.8,66.3
Service,38,188.6,113.5
Unemployed,27,165.7,55.2
Unemployed,59,155.2,73.6
Education,56,168.7,47.1
Office,19,157.2,73.1
Service,52,160.5,83.4
Healthcare,22,172.0,53.2
Healthcare,53,173.6,77.3
Service,57,161.8,86.8
Office,24,177.9,100.1
Office,38,179.6,98.7
IT,23,182.4,73.3
Driver,45,173.3,48.8
Driver,62,181.6,85.0
Education,21,149.2,51.6
Student,37,164.8,59.7
Healthcare,64,159.3,53.1
Manual,32,169.2,55.9
Unemployed,24,162.3,56.1
Unemployed,41,166.3,75.1
Sales,42,186.8,70.9
Service,49,166.3,74.0
Manual,33,172.1,70.1
Office,63,165.7,56.8
Unemployed,43,168.8,67.5
Office,31,168.1,65.6
Driver,64,172.5,100.8
Driver,62,179.7,83.5
IT,41,184.5,77.5
Education,19,171.1,60.9
Sales,46,173.9,65.4
Healthcare,44,156.5,47.3
Sales,25,167.1,88.2
Driver,48,177.4,82.4
Office,58,176.7,71.8
Manual,23,170.1,82.1
Driver,52,176.9,66.2
Student,24,172.9,73.7
Service,53,180.0,67.3
Driver,38,170.9,58.6
Driver,18,164.4,90.5
Education,64,171.4,67.8
Unemployed,25,145.0,49.5
Healthcare,46,171.8,92.4
Student,26,145.0,38.6
Driver,62,150.8,38.0
Healthcare,53,172.5,69.8
Sales,56,172.8,62.8
Driver,38,156.4,41.6
Driver,40,160.9,60.9
Driver,48,181.7,93.7
Sales,55,163.2,56.1
Office,58,190.4,77.7
Sales,18,168.0,77.6
Manual,49,172.1,64.4
IT,23,184.2,100.1
Education,31,169.3,60.1
Sales,57,158.0,82.0
Service,30,166.9,63.7
Unemployed,56,167.6,42.7
IT,40,154.4,70.1
Driver,29,165.4,57.8
Student,34,160.6,38.0
Student,43,177.2,59.6
Manual,54,168.3,54.5
Manual,47,165.2,47.0
Healthcare,62,166.9,61.8
Sales,59,170.2,49.0
Unemployed,54,174.2,71.1
Sales,46,158.0,51.8
Unemployed,31,157.6,55.3
Sales,37,179.0,70.9
Service,23,163.9,42.6
Healthcare,35,153.8,50.6
Driver,62,172.4,57.0
Manual,38,172.6,67.6
Driver,23,152.7,38.0
IT,49,170.3,55.4
Service,64,175.4,64.4
Healthcare,59,171.7,64.7
Unemployed,31,174.3,65.5
Driver,39,154.0,64.3
Manual,43,171.3,63.6
Driver,29,165.0,57.9
Education,30,163.2,58.7
Office,29,176.7,50.6
Unemployed,65,182.8,71.0
Driver,53,185.9,72.9
Education,58,181.1,80.8
Healthcare,57,166.9,47.5
Healthcare,64,171.5,84.5
Unemployed,23,175.7,97.5
Office,60,169.2,47.5
Sales,21,169.3,55.9
Student,40,176.2,81.3
Manual,46,167.4,59.3
Student,35,160.7,75.3
IT,25,163.9,60.2
IT,27,174.3,100.9
Healthcare,57,168.0,92.9
Office,33,171.4,54.1
Service,32,174.7,64.9
IT,62,164.3,64.7
Education,24,175.6,51.5
Education,61,171.8,59.7
Student,62,155.7,75.5
Driver,46,182.4,65.5
Student,25,163.0,58.8
Education,25,151.4,59.1
Office,31,157.5,57.5
Education,45,157.8,56.9
Office,25,168.5,98.0
Student,39,165.3,57.0
Education,23,164.6,47.4
Driver,43,174.2,49.4
Driver,19,171.4,86.6
IT,52,171.2,67.4
Manual,20,172.1,61.5
IT,27,174.2,56.0
Driver,26,146.9,53.1
Manual,57,164.4,85.7
Service,20,146.2,45.9
Student,38,168.4,93.7
Service,46,168.0,64.2
Sales,42,178.5,66.1
Office,50,179.9,87.2
Office,56,170.0,67.3
IT,36,163.0,57.8
Driver,57,172.9,73.3
Office,33,162.7,53.3
Healthcare,65,168.0,66.3
Healthcare,42,177.9,100.7
Student,53,162.4,52.0
Manual,60,176.1,64.7
Service,56,174.8,50.5
Healthcare,58,158.5,55.2
Student,43,177.7,63.7
Education,20,175.0,62.5
Service,41,169.0,62.7
Office,26,160.4,53.2
Education,60,159.4,55.7
Student,29,162.6,53.8
Office,28,173.4,66.8
Unemployed,29,158.4,70.0
Sales,48,172.4,65.9
Driver,45,155.6,55.7
IT,63,166.0,74.0
IT,37,169.1,57.6
IT,31,192.5,79.0
Student,20,154.2,79.8
Sales,18,182.7,71.1
Manual,35,169.5,45.7
Education,62,172.1,59.8
Sales,43,169.2,47.9
Office,60,172.4,62.4
Education,22,166.5,76.2
Manual,22,182.5,57.9
Manual,58,163.4,74.7
Unemployed,23,179.3,108.5
Healthcare,20,161.6,60.6
Education,37,167.4,72.4
IT,62,157.3,64.7
Unemployed,51,172.6,94.2
Office,22,182.5,70.6
Sales,58,167.2,56.9
Manual,58,166.0,59.1
Service,56,156.9,52.6
Manual,61,165.7,57.7
Manual,29,152.1,48.7
Driver,65,158.9,46.8
Unemployed,33,170.3,95.1
IT,56,181.2,79.3
Service,45,196.1,65.2
Driver,55,162.1,44.0
Sales,48,182.4,72.1
Manual,48,170.4,62.1
Sales,47,166.5,48.5
IT,55,172.3,71.1
Manual,53,168.6,54.9
Sales,24,169.1,64.1
Healthcare,57,163.9,58.2
Sales,43,154.0,46.3
Manual,33,152.6,54.3
Sales,42,174.5,54.6
Healthcare,64,165.2,42.4
Manual,59,162.0,52.5
Sales,58,168.1,69.7
IT,40,175.9,93.8
Service,55,169.8,95.1
Service,36,161.4,56.2
Education,50,180.3,66.8
Service,48,183.8,73.7
Sales,29,172.9,78.3
Office,30,177.7,85.0
Unemployed,20,180.4,90.7
Sales,24,179.3,81.1
Healthcare,38,174.1,59.3
IT,40,174.0,81.6
Service,25,173.2,85.6
Service,38,157.0,60.1
Healthcare,47,175.0,95.7
Education,29,154.4,42.1
Office,34,160.1,77.8
Education,35,181.0,96.5
Education,42,176.4,46.0
Office,35,182.9,78.1
Office,53,165.3,45.5
IT,33,156.5,72.7
Education,38,165.6,75.7
Service,36,169.0,58.8
IT,26,168.8,75.4
Unemployed,50,179.3,56.5
Service,29,164.4,64.3
Manual,32,171.5,62.5
Unemployed,56,158.1,43.8
Manual,63,172.5,63.1
Driver,50,168.0,63.1
Driver,61,160.5,53.6
Sales,59,165.6,56.4
Manual,41,166.2,76.2
IT,54,165.3,63.6
IT,33,185.7,98.8
Manual,40,167.0,63.4
Driver,43,165.6,58.7
Student,64,147.0,47.5
Manual,58,159.1,54.1
Unemployed,41,165.4,59.8
Sales,49,161.1,52.2
IT,27,181.8,65.0
Education,56,166.4,59.6
Healthcare,44,180.9,72.2
Healthcare,43,168.6,62.0
Healthcare,54,168.4,78.9
Driver,48,167.1,62.0
IT,21,168.0,92.1
Manual,31,185.2,93.9
Education,26,145.0,67.9
Office,53,148.0,56.9
Education,19,162.6,44.6
Education,27,168.1,64.6
Office,46,174.9,62.2
Healthcare,51,172.7,81.3
Unemployed,42,164.2,55.8
Sales,59,178.2,64.7
Service,62,178.3,96.5
Education,24,169.8,55.5
Sales,63,177.6,72.2
Office,47,170.7,79.1
Manual,48,162.4,51.5
IT,22,175.0,64.9
Driver,47,169.1,92.8
Manual,52,168.0,47.6
Healthcare,45,182.7,72.2
Office,22,145.0,46.3
Manual,43,153.8,49.2
Driver,62,156.1,44.0
Student,52,164.4,89.1
Service,24,165.5,79.6
Unemployed,64,152.9,48.4
Unemployed,64,158.1,54.0
Education,26,159.4,54.0
Service,56,192.6,102.6
Student,37,186.0,72.6
Education,46,163.9,54.8
Service,39,164.4,42.6
Healthcare,55,156.5,86.8
Office,65,148.9,49.0
IT,56,166.8,71.9
Sales,62,158.0,52.3
Unemployed,63,167.2,87.2
Office,22,152.0,38.8
Driver,30,160.4,46.2
Unemployed,52,169.5,92.2
Service,46,171.7,91.7
IT,20,172.2,65.4
Office,22,154.8,47.3
Healthcare,42,176.5,63.2
Manual,47,160.0,52.1
Sales,26,174.3,61.8
Education,26,167.9,81.3
IT,24,154.2,54.0
Driver,45,164.8,76.7
Office,18,171.7,49.1
Service,45,174.1,52.8
Education,40,166.6,53.0
Manual,40,183.3,76.3
IT,50,178.1,69.4
Driver,43,165.4,45.4
Service,52,175.5,98.8
Healthcare,54,187.3,92.4
Service,62,187.6,88.8
Manual,56,155.7,38.0
Sales,42,158.7,59.4
Healthcare,41,182.8,74.6
Education,29,157.4,49.8
IT,46,154.8,49.3
IT,24,163.1,42.4
Healthcare,62,172.2,61.4
Manual,58,167.0,58.6
Manual,23,161.5,53.1
Driver,55,161.3,54.6
IT,23,160.9,56.8
IT,52,159.2,49.4
Office,22,190.8,79.7
Healthcare,41,171.0,65.3
Service,49,176.9,62.8
Education,52,163.1,68.7
Healthcare,38,166.1,59.7
Unemployed,62,160.9,54.8
IT,55,145.0,64.6
Sales,27,154.2,51.5
Office,50,149.9,71.9
Service,53,145.5,63.1
Education,34,156.0,44.7
Service,53,181.2,68.9
Student,61,167.6,62.0
Manual,57,180.9,107.3
Sales,54,172.1,69.0
IT,48,175.8,50.0
Unemployed,30,159.0,54.5
Unemployed,56,173.2,51.2
Sales,35,175.3,86.4
Sales,43,162.2,53.1
Education,33,173.6,84.9
Student,33,173.7,85.2
Sales,25,162.5,54.4
Driver,64,156.8,57.1
Healthcare,25,156.2,75.0
Education,22,168.9,79.8
IT,62,171.3,86.7
IT,44,160.1,44.6
IT,39,168.3,60.1
Sales,53,173.7,56.4
Manual,36,174.2,81.8
Manual,24,183.5,70.6
Healthcare,53,180.8,67.3
IT,26,158.0,56.4
Manual,44,184.8,75.0
Education,63,162.7,68.2
Unemployed,62,178.4,68.5
IT,35,168.7,54.6
Manual,55,163.9,67.6
Unemployed,47,149.9,65.1
Manual,41,166.3,59.7
Driver,24,152.4,52.4
Education,36,177.7,105.5
Sales,49,183.2,93.9
Manual,65,160.0,57.7
Student,18,171.0,59.8
Service,52,160.7,59.1
IT,58,161.7,40.5
Healthcare,63,175.7,82.8
Manual,38,167.6,47.5
Office,23,185.4,60.8
Healthcare,31,163.2,72.9
Office,58,178.0,98.5
Student,60,169.0,73.2
Driver,48,176.0,68.9
Sales,23,163.5,60.3
Manual,23,167.5,63.8
Manual,40,166.8,59.1
Manual,46,159.6,51.2
Service,19,174.6,66.3
Student,50,174.5,62.9
Student,44,173.9,84.4
Service,18,183.4,102.4
Student,22,182.5,64.9
Service,39,164.3,57.4
Sales,52,171.7,61.7
Student,57,161.8,57.0
IT,38,168.2,58.8
IT,32,162.0,56.8
Sales,64,184.2,99.5
IT,40,171.6,60.6
Education,33,165.8,88.6
Student,39,179.9,43.2
Office,18,146.3,38.0
Service,32,147.9,47.9
IT,42,176.0,49.3
Education,62,168.6,62.9
Unemployed,53,170.5,90.3
Sales,55,154.7,51.6
Driver,44,167.8,62.0
Driver,23,188.0,68.5
Student,36,176.2,62.0
Driver,65,169.7,66.4
Sales,20,163.6,50.4
Manual,60,164.1,69.6
Healthcare,50,146.7,38.0
Education,31,170.6,70.8
Service,55,176.5,66.0
Unemployed,58,152.2,62.2
Office,20,161.4,59.4
Unemployed,23,156.4,49.8
Healthcare,49,158.3,48.2
Manual,65,168.5,55.4
IT,19,147.2,38.6
Service,49,174.1,80.2
Healthcare,24,175.5,63.1
Office,49,165.5,72.6
Manual,47,145.0,38.0
Service,22,158.0,64.7
Office,50,180.3,91.9
Service,61,145.0,38.0
IT,59,164.5,48.7
IT,19,156.2,42.4
Sales,29,176.0,82.5
Office,29,161.2,57.0
Manual,39,172.0,63.9
Unemployed,24,173.7,66.2
Manual,59,186.4,104.0
Office,55,166.0,61.2
Driver,56,171.8,66.0
Student,27,153.1,83.8
Service,18,179.9,71.6
Education,61,160.4,71.3
Manual,31,162.4,50.2
Healthcare,49,167.8,57.6
Driver,61,152.4,57.9
Service,19,170.3,61.1
IT,18,177.7,70.4
Sales,18,170.9,62.3
Service,25,152.1,50.5
Manual,20,166.8,63.4
Unemployed,57,175.4,69.3
Office,47,149.2,48.4
Unemployed,65,157.3,50.4
Driver,56,176.8,70.0
Unemployed,64,170.7,69.9
Service,29,172.1,56.9
Sales,31,186.6,58.0
IT,58,172.7,78.9
Service,29,174.6,68.6
Manual,20,195.1,67.5
Sales,50,165.9,59.4
IT,56,160.0,72.5
Manual,64,172.3,64.7
Healthcare,62,172.4,62.3
IT,23,162.7,41.5
Office,55,157.7,45.1
Unemployed,58,191.1,96.7
Student,51,171.3,89.5
IT,57,160.7,44.2
Driver,58,177.2,85.8
IT,39,166.9,45.1
Healthcare,19,165.5,58.3
IT,39,173.6,82.4
IT,27,155.1,48.6
Education,23,171.5,43.9
Healthcare,23,187.1,70.8
Education,51,172.7,99.8
Driver,42,164.2,63.3
Manual,43,162.9,58.8
Manual,53,163.9,40.1
IT,44,165.5,58.6
Sales,48,164.2,57.5
Student,22,177.2,82.0
Manual,58,150.7,63.4
Unemployed,39,176.6,81.6
Healthcare,25,164.2,72.7
Healthcare,57,171.8,63.2
Office,53,156.7,55.4
Student,20,181.3,65.3
Manual,27,180.5,67.1
Education,18,177.6,89.6
Sales,30,152.9,49.8
Healthcare,22,176.3,97.0
Driver,52,172.0,59.3
Driver,43,151.9,53.0
IT,65,167.8,60.8
Unemployed,53,171.6,42.6
Driver,47,173.6,65.0
Sales,42,169.8,57.9
Unemployed,20,170.9,48.1
Service,21,182.7,103.2
Education,47,180.3,56.0
Sales,18,145.0,44.2
Education,20,164.8,74.1
Driver,28,166.4,48.6
IT,60,150.5,69.4
Service,40,168.9,70.9
IT,52,180.5,47.9
Service,37,157.1,54.0
IT,26,171.4,64.4
Healthcare,35,158.8,63.0
Driver,22,161.3,69.9
Driver,54,182.8,88.9
Service,26,162.6,53.1
Healthcare,36,172.6,61.1
Sales,65,149.3,51.4
Sales,46,186.6,113.3
Student,40,174.0,72.7
Office,44,166.2,56.1
Student,55,173.8,65.7
Education,30,153.9,64.6
Education,48,179.8,103.0
Student,59,164.8,57.6
Student,45,166.0,51.7
Healthcare,39,163.1,57.9
Sales,24,162.2,53.4
Service,29,174.9,61.4
IT,63,170.6,45.1
Manual,43,174.5,60.3
Office,32,167.9,60.9
Service,38,173.1,67.0
Education,45,163.8,54.9
Healthcare,43,190.3,95.9
Office,51,152.3,43.2
Sales,30,180.6,84.2
Education,49,181.7,72.5
Unemployed,39,159.5,56.5
Healthcare,63,190.3,73.7
Office,25,178.0,60.2
Manual,25,177.7,62.0
Manual,40,168.3,58.5
Office,42,165.8,75.8
Office,51,165.9,65.1
Service,37,171.9,51.9
Sales,61,182.0,68.5
Service,40,169.8,56.5
Driver,24,158.9,61.8
Manual,23,176.2,85.5
Office,64,177.2,65.0
Unemployed,24,174.5,61.2
Sales,63,175.5,65.1
Manual,31,165.3,61.0
Education,22,158.7,71.3
Education,32,159.3,69.5
Unemployed,47,151.6,54.9
Office,38,170.4,64.2
IT,55,167.2,48.3
Unemployed,47,163.6,46.8
Education,37,145.0,41.7
Manual,48,155.5,58.7
Education,64,179.2,105.3
Driver,37,161.4,57.4
Driver,25,171.6,63.1
Sales,37,154.1,45.4
Healthcare,58,182.4,72.4
Office,28,166.6,69.5
Sales,63,170.9,65.2
Education,46,191.3,98.1
Sales,46,183.2,91.6
Manual,33,164.9,44.9
Student,62,162.1,59.4
Sales,19,164.7,84.1
Healthcare,32,173.1,66.0
Sales,38,166.9,44.3
Unemployed,40,164.0,90.9
IT,40,182.7,98.5
Sales,25,166.9,56.8
Student,28,191.0,78.7
Sales,22,168.9,58.5
Office,45,185.9,98.0
Healthcare,34,171.6,60.5
Office,45,177.6,52.7
Unemployed,46,160.8,58.6
Service,51,159.5,81.8
Driver,44,172.6,80.3
Office,49,177.9,60.9
Manual,46,168.4,50.2
Unemployed,49,155.1,80.6
Manual,47,154.4,79.0
Sales,33,153.7,55.8
Unemployed,29,150.3,50.0
IT,55,169.1,61.4
Student,34,179.3,65.0
Service,44,167.9,46.3
Service,27,145.4,38.2
Manual,38,166.1,60.2
Manual,43,166.4,70.0
Sales,48,189.0,56.7
Service,43,153.4,45.8
Manual,35,164.1,61.0
Driver,64,185.1,82.9
Service,42,172.5,68.8
